Authors,Title,Journal,Abstract
"['Södersten P', 'Bergh C', 'Leon M', 'Zandian M.']",Dopamine and anorexia nervosa.,Neurosci Biobehav Rev,"We have suggested that reduced food intake increases the risk for anorexia nervosa by engaging mesolimbic dopamine neurons, thereby initially rewarding dieting. Recent fMRI studies have confirmed that dopamine neurons are activated in anorexia nervosa, but it is not clear whether this response is due to the disorder or to its resulting nutritional deficit. When the body senses the shortage of nutrients, it rapidly shifts behavior toward foraging for food as a normal physiological response and the mesolimbic dopamine neurons may be involved in that process. On the other hand, the altered dopamine status of anorexics has been suggested to result from a brain abnormality that underlies their complex emotional disorder. We suggest that the outcomes of the treatments that emerge from that perspective remain poor because they target the mental symptoms that are actually the consequences of the food deprivation that accompanies anorexia. On the other hand, a method that normalizes the disordered eating behavior of anorexics results in much better physiological, behavioral, and emotional outcomes."
"['Schalla MA', 'Stengel A.']",The Role of Ghrelin in Anorexia Nervosa.,Int J Mol Sci,"Ghrelin, a 28-amino acid peptide hormone expressed in X/A-like endocrine cells of the stomach, is the only known peripherally produced and centrally acting peptide that stimulates food intake and therefore attracted a lot of attention with one major focus on the treatment of conditions where an increased energy intake or body weight gain is desired. Anorexia nervosa is an eating disorder characterized by a pronounced reduction of body weight, a disturbed body image and hormonal alterations. Ghrelin signaling has been thoroughly investigated under conditions of anorexia nervosa. The present review will highlight these alterations of ghrelin in anorexia and discuss possible treatment strategies targeting ghrelin signaling. Lastly, gaps in knowledge will be mentioned to foster future research."
"['Berner LA', 'Brown TA', 'Lavender JM', 'Lopez E', 'Wierenga CE', 'Kaye WH.']",Neuroendocrinology of reward in anorexia nervosa and bulimia nervosa: Beyond leptin and ghrelin.,Mol Cell Endocrinol,"The pathophysiology of anorexia nervosa (AN) and bulimia nervosa (BN) are still poorly understood, but psychobiological models have proposed a key role for disturbances in the neuroendocrines that signal hunger and satiety and maintain energy homeostasis. Mounting evidence suggests that many neuroendocrines involved in the regulation of homeostasis and body weight also play integral roles in food reward valuation and learning via their interactions with the mesolimbic dopamine system. Neuroimaging data have associated altered brain reward responses in this system with the dietary restriction and binge eating and purging characteristic of AN and BN. Thus, neuroendocrine dysfunction may contribute to or perpetuate eating disorder symptoms via effects on reward circuitry. This narrative review focuses on reward-related neuroendocrines that are altered in eating disorder populations, including peptide YY, insulin, stress and gonadal hormones, and orexins. We provide an overview of the animal and human literature implicating these neuroendocrines in dopaminergic reward processes and discuss their potential relevance to eating disorder symptomatology and treatment."
['Haleem DJ.'],Improving therapeutics in anorexia nervosa with tryptophan.,Life Sci,"A growing body of evidence suggests that our diet is an important contributing factor in the development, management and prevention of a number of psychiatric illnesses. Tryptophan, an essential amino acid, is the sole precursor of neurotransmitter 5-hydroxytryptamine (5-HT; serotonin). Administration of tryptophan can boost serotonin neurotransmission to produce therapeutically important effects in serotonin deficiency disorders. Anorexia nervosa (AN) an eating disorder associated with high levels of psychiatric comorbidity including psychosis, hyperactivity, depression and anxiety has highest lethality of all psychiatric illnesses. Evidence suggests that excessive dieting and food restriction can decrease brain tryptophan and serotonin in AN patients to precipitate depression, psychosis and hyperactivity. There are currently no FDA approved pharmacological treatments available for AN patients; antidepressants and antipsychotics, largely used to treat associated psychiatric comorbidities are also not very effective. The aim of this non-systematic review article is to evaluate and document a potential importance of tryptophan supplementation in improving therapeutics in AN patients."
"['Gabriel T', 'Paul S', 'Berger A', 'Massoubre C.']",Anorexia Nervosa and Autism Spectrum Disorders: Future Hopes Linked to Mucosal Immunity.,Neuroimmunomodulation,"Mental health is becoming a public health priority worldwide. Anorexia nervosa and autism spectrum disorders are 2 important types of childhood disorders with a bad prognosis. They share cognitive impairments and, in both cases, the microbiota appears to be a crucial factor. Alteration of the microbiota-gut-brain axis is an appealing hypothesis to define new pathophysiological mechanisms. Mucosal immunity plays a key role between the microbiota and the brain. The mucosal immune system receives and integrates messages from the intestinal microenvironment and the microbiota and then transmits the information to the nervous system. Abnormalities in this sensorial system may be involved in the natural history of mental diseases and might play a role in their maintenance. This review aims to highlight data about the relationship between intestinal mucosal immunity and these disorders. We show that shared cognitive impairments could be found in these 2 disorders, which both present dysbiosis. This literature review provides details on the immune status of anorexic and autistic patients, with a focus on intestinal mucosal factors. Finally, we suggest future research hypotheses that seem important for understanding the implication of the gut-brain-axis in psychiatric diseases."
"['Monteleone AM', 'Castellini G', 'Volpe U', 'Ricca V', 'Lelli L', 'Monteleone P', 'Maj M.']",Neuroendocrinology and brain imaging of reward in eating disorders: A possible key to the treatment of anorexia nervosa and bulimia nervosa.,Prog Neuropsychopharmacol Biol Psychiatry,"Anorexia nervosa and bulimia nervosa are severe eating disorders whose etiopathogenesis is still unknown. Clinical features suggest that eating disorders may develop as reward-dependent syndromes, since eating less food is perceived as rewarding in anorexia nervosa while consumption of large amounts of food during binge episodes in bulimia nervosa aims at reducing the patient's negative emotional states. Therefore, brain reward mechanisms have been a major focus of research in the attempt to contribute to the comprehension of the pathophysiology of these disorders. Structural brain imaging data provided the evidence that brain reward circuits may be altered in patients with anorexia or bulimia nervosa. Similarly, functional brain imaging studies exploring the activation of brain reward circuits by food stimuli as well as by stimuli recognized to be potentially rewarding for eating disordered patients, such as body image cues or stimuli related to food deprivation and physical hyperactivity, showed several dysfunctions in ED patients. Moreover, very recently, it has been demonstrated that some of the biochemical homeostatic modulators of eating behavior are also implicated in the regulation of food-related and non-food-related reward, representing a possible link between the aberrant behaviors of ED subjects and their hypothesized deranged reward processes. In particular, changes in leptin and ghrelin occur in patients with anorexia or bulimia nervosa and have been suggested to represent not only homeostatic adaptations to an altered energy balance but to contribute also to the acquisition and/or maintenance of persistent starvation, binge eating and physical hyperactivity, which are potentially rewarding for ED patients. On the basis of such findings new pathogenetic models of EDs have been proposed, and these models may provide new theoretical basis for the development of innovative treatment strategies, either psychological and pharmacological, with the aim to improve the outcomes of so severe disabling disorders."
"['Howard D', 'Negraes P', 'Voineskos AN', 'Kaplan AS', 'Muotri AR', 'Duvvuri V', 'French L.']",Molecular neuroanatomy of anorexia nervosa.,Sci Rep,"Anorexia nervosa is a complex eating disorder with genetic, metabolic, and psychosocial underpinnings. Using genome-wide methods, recent studies have associated many genes with the disorder. We characterized these genes by projecting them into reference transcriptomic atlases of the prenatal and adult human brain to determine where these genes are expressed in fine detail. We found that genes from an induced stem cell study of anorexia nervosa cases are expressed at higher levels in the lateral parabrachial nucleus. Although weaker, expression enrichment of the adult lateral parabrachial is also found with genes from independent genetic studies. Candidate causal genes from the largest genetic study of anorexia nervosa to date were enriched for expression in the arcuate nucleus of the hypothalamus. We also found an enrichment of anorexia nervosa associated genes in the adult and fetal raphe and ventral tegmental areas. Motivated by enrichment of these feeding circuits, we tested if these genes respond to fasting in mice hypothalami, which highlighted the differential expression of Rps26 and Dalrd3. This work improves our understanding of the neurobiology of anorexia nervosa by suggesting disturbances in subcortical appetitive circuits."
"['Kaye WH', 'Fudge JL', 'Paulus M.']",New insights into symptoms and neurocircuit function of anorexia nervosa.,Nat Rev Neurosci,"Individuals with anorexia nervosa have a relentless preoccupation with dieting and weight loss that results in severe emaciation and sometimes death. It is controversial whether such symptoms are secondary to psychosocial influences, are a consequence of obsessions and anxiety or reflect a primary disturbance of brain appetitive circuits. New brain imaging technology provides insights into ventral and dorsal neural circuit dysfunction - perhaps related to altered serotonin and dopamine metabolism - that contributes to the puzzling symptoms found in people with eating disorders. For example, altered insula activity could explain interoceptive dysfunction, and altered striatal activity might shed light on altered reward modulation in people with anorexia nervosa."
"['Herpertz-Dahlmann B', 'Seitz J', 'Baines J.']",Food matters: how the microbiome and gut-brain interaction might impact the development and course of anorexia nervosa.,Eur Child Adolesc Psychiatry,"Anorexia nervosa (AN) is one of the most common chronic illnesses in female adolescents and exhibits the highest mortality risk of all psychiatric disorders. Evidence for the effectiveness of psychotherapeutic or psychopharmacological interventions is weak. Mounting data indicate that the gut microbiome interacts with the central nervous system and the immune system by neuroendocrine, neurotransmitter, neurotrophic and neuroinflammatory afferent and efferent pathways. There is growing evidence that the gut microbiota influences weight regulation and psychopathology, such as anxiety and depression. This article reviews how the gut-brain interaction may impact the development and course of AN. A ""leaky gut"", characterized by antigens traversing the intestinal wall, was demonstrated in an animal model of AN, and could underlie the low-grade inflammation and increased risk of autoimmune diseases found in AN. Moreover, starvation has a substantial impact on the gut microbiome, and diets used for re-nutrition based on animal products may support the growth of bacteria capable of triggering inflammation. As there is currently no empirically derived agreement on therapeutic re-nourishment in AN, this review discusses how consideration of gut-brain interactions may be important for treatment regarding the determination of target weight, rapidity of weight gain, refeeding methods and composition of the diet which might all be of importance to improve long-term outcome of one of the most chronic psychiatric disorders of adolescence."
"['Rowland NE', 'Atalayer D', 'Cervantez MR', 'Minaya DM', 'Splane EC.']",Cost-based anorexia: A novel framework to model anorexia nervosa.,Appetite,"Anorexia nervosa (AN) is an eating disorder that is thought to emerge through biological predisposition(s) within sociocultural context(s). Practical and ethical concerns limit study of the etiology of this disorder in humans, and in particular the biological aspects. Laboratory animal models have a pivotal role in advancing our understanding of the neurobiological, physiological and behavioral aspects of this disorder, and developing new treatment strategies. One shortcoming of animal models, including activity based anorexia (ABA) in rodents, is that they cannot fully capture the contextual aspects of AN. In this article we discuss the merits of an alternate approach, cost-based anorexia (CBA). CBA is conceptually founded in behavioral economics and its magnitude is influenced by several relevant contextual aspects of feeding."
